LGA,State,Case,Year
Toro,Bauchi,0.0,2025.0
Warji,Bauchi,0.0,2025.0
Zaki,Bauchi,0.0,2025.0
Brass,Bayelsa,51.0,2025.0
Ekeremor,Bayelsa,88.0,2025.0
Kolokuma/Opokuma,Bayelsa,20.0,2025.0
Nembe,Bayelsa,208.0,2025.0
Ogbia,Bayelsa,67.0,2025.0
Sagbama,Bayelsa,44.0,2025.0
Southern Ijaw,Bayelsa,228.0,2025.0
Yenegoa,Bayelsa,57.0,2025.0
Ado,Benue,0.0,2025.0
Agatu,Benue,0.0,2025.0
Apa,Benue,0.0,2025.0
Buruku,Benue,0.0,2025.0
Gboko,Benue,0.0,2025.0
Guma,Benue,0.0,2025.0
Gwer East,Benue,0.0,2025.0
Gwer West,Benue,0.0,2025.0
Katsina-Ala,Benue,0.0,2025.0
Konshisha,Benue,0.0,2025.0
Kwande,Benue,0.0,2025.0
Logo,Benue,0.0,2025.0
Makurdi,Benue,26.0,2025.0
Obi,Benue,0.0,2025.0
Ogbadibo,Benue,0.0,2025.0
Ohimini,Benue,0.0,2025.0
Oju,Benue,0.0,2025.0
Okpokwu,Benue,0.0,2025.0
Oturkpo,Benue,0.0,2025.0
Tarka,Benue,0.0,2025.0
Ukum,Benue,0.0,2025.0
Ushongo,Benue,0.0,2025.0
Vandeikya,Benue,0.0,2025.0
Abadam,Borno,0.0,2025.0
Askira Uba,Borno,0.0,2025.0
Bama,Borno,0.0,2025.0
Bayo,Borno,0.0,2025.0
Biu,Borno,0.0,2025.0
Chibok,Borno,0.0,2025.0
Damboa,Borno,0.0,2025.0
Dikwa,Borno,0.0,2025.0
Gubio,Borno,0.0,2025.0
Guzamala,Borno,0.0,2025.0
Gwoza,Borno,0.0,2025.0
Hawul,Borno,0.0,2025.0
Jere,Borno,0.0,2025.0
Kaga,Borno,0.0,2025.0
Kala Balge,Borno,0.0,2025.0
Konduga,Borno,0.0,2025.0
Kukawa,Borno,0.0,2025.0
Kwaya Kusar,Borno,0.0,2025.0
Mafa,Borno,0.0,2025.0
Magumeri,Borno,0.0,2025.0
Maiduguri,Borno,0.0,2025.0
Marte,Borno,0.0,2025.0
Mobbar,Borno,0.0,2025.0
Monguno,Borno,0.0,2025.0
Ngala,Borno,0.0,2025.0
Nganzai,Borno,0.0,2025.0
Shani,Borno,0.0,2025.0
Abi,Cross River,0.0,2025.0
Akamkpa,Cross River,0.0,2025.0
Akpabuyo,Cross River,0.0,2025.0
Bakassi,Cross River,0.0,2025.0
Bekwarra,Cross River,0.0,2025.0
Biase,Cross River,0.0,2025.0
Boki,Cross River,0.0,2025.0
Calabar Municipal,Cross River,0.0,2025.0
Calabar South,Cross River,0.0,2025.0
Etung,Cross River,0.0,2025.0
Ikom,Cross River,0.0,2025.0
Obanliku,Cross River,0.0,2025.0
Obubra,Cross River,0.0,2025.0
Obudu,Cross River,0.0,2025.0
Odukpani,Cross River,0.0,2025.0
Ogoja,Cross River,0.0,2025.0
Yakurr,Cross River,0.0,2025.0
Yala,Cross River,0.0,2025.0
Aniocha North,Delta,0.0,2025.0
Aniocha South,Delta,0.0,2025.0
Bomadi,Delta,0.0,2025.0
Burutu,Delta,0.0,2025.0
Ethiope East,Delta,0.0,2025.0
Ethiope West,Delta,0.0,2025.0
Ika North East,Delta,0.0,2025.0
Ika South,Delta,0.0,2025.0
Isoko North,Delta,0.0,2025.0
Isoko South,Delta,0.0,2025.0
Ndokwa East,Delta,0.0,2025.0
Ndokwa West,Delta,0.0,2025.0
Okpe,Delta,0.0,2025.0
Oshimili North,Delta,0.0,2025.0
Oshimili South,Delta,0.0,2025.0
Patani,Delta,19.0,2025.0
Sapele,Delta,0.0,2025.0
Udu,Delta,0.0,2025.0
Ughelli North,Delta,0.0,2025.0
Ughelli South,Delta,0.0,2025.0
Ukwuani,Delta,0.0,2025.0
Uvwie,Delta,0.0,2025.0
Warri North,Delta,0.0,2025.0
Warri South,Delta,0.0,2025.0
Warri South-West,Delta,0.0,2025.0
Abakaliki,Ebonyi,0.0,2025.0
Afikpo North,Ebonyi,0.0,2025.0
Afikpo South,Ebonyi,0.0,2025.0
Ebonyi,Ebonyi,0.0,2025.0
Ezza North,Ebonyi,0.0,2025.0
Ezza South,Ebonyi,0.0,2025.0
Ikwo,Ebonyi,0.0,2025.0
Ishielu,Ebonyi,0.0,2025.0
Ivo,Ebonyi,0.0,2025.0
Izzi,Ebonyi,0.0,2025.0
Ohaozara,Ebonyi,0.0,2025.0
Ohaukwu,Ebonyi,0.0,2025.0
Onicha,Ebonyi,0.0,2025.0
Akoko-Edo,Edo,0.0,2025.0
Egor,Edo,0.0,2025.0
Esan Central,Edo,0.0,2025.0
Esan North-East,Edo,0.0,2025.0
Esan South-East,Edo,0.0,2025.0
Esan West,Edo,0.0,2025.0
Etsako Central,Edo,0.0,2025.0
Etsako East,Edo,0.0,2025.0
Etsako West,Edo,0.0,2025.0
Iguegben,Edo,0.0,2025.0
Ikpoba-Okha,Edo,0.0,2025.0
Oredo,Edo,0.0,2025.0
Orhionmwon,Edo,0.0,2025.0
Ovia North-East,Edo,0.0,2025.0
Ovia South-West,Edo,0.0,2025.0
Owan East,Edo,0.0,2025.0
Owan West,Edo,0.0,2025.0
Uhunmwonde,Edo,0.0,2025.0
Ado-Ekiti,Ekiti,0.0,2025.0
Efon,Ekiti,0.0,2025.0
Ekiti East,Ekiti,0.0,2025.0
Ekiti South-West,Ekiti,0.0,2025.0
Ekiti West,Ekiti,0.0,2025.0
Emure,Ekiti,0.0,2025.0
Gbonyin,Ekiti,0.0,2025.0
Ido-Osi,Ekiti,0.0,2025.0
Ijero,Ekiti,0.0,2025.0
Ikere,Ekiti,0.0,2025.0
Ikole,Ekiti,0.0,2025.0
Ilejemeje,Ekiti,0.0,2025.0
Irepodun/Ifelodun,Ekiti,0.0,2025.0
Ise/Orun,Ekiti,0.0,2025.0
Moba,Ekiti,0.0,2025.0
Oye,Ekiti,0.0,2025.0
Aninri,Enugu,0.0,2025.0
Awgu,Enugu,0.0,2025.0
Enugu East,Enugu,0.0,2025.0
Enugu North,Enugu,0.0,2025.0
Enugu South,Enugu,0.0,2025.0
Ezeagu,Enugu,0.0,2025.0
Igbo-Etiti,Enugu,0.0,2025.0
Igbo-Eze-South,Enugu,0.0,2025.0
Igbo-Eze North,Enugu,0.0,2025.0
Isi-Uzo,Enugu,0.0,2025.0
Nkanu East,Enugu,0.0,2025.0
Nkanu West,Enugu,0.0,2025.0
Nsukka,Enugu,0.0,2025.0
Oji-River,Enugu,0.0,2025.0
Udenu,Enugu,0.0,2025.0
Udi,Enugu,0.0,2025.0
Uzo-Uwani,Enugu,0.0,2025.0
Abaji,Fct,0.0,2025.0
Bwari,Fct,0.0,2025.0
Gwagwalada,Fct,0.0,2025.0
Kuje,Fct,0.0,2025.0
Kwali,Fct,0.0,2025.0
Municipal Area Council,Fct,0.0,2025.0
Akko,Gombe,0.0,2025.0
Balanga,Gombe,0.0,2025.0
Billiri,Gombe,0.0,2025.0
Dukku,Gombe,0.0,2025.0
Funakaye,Gombe,0.0,2025.0
Gombe,Gombe,0.0,2025.0
Kaltungo,Gombe,0.0,2025.0
Kwami,Gombe,0.0,2025.0
Nafada,Gombe,0.0,2025.0
Shomgom,Gombe,0.0,2025.0
Yamaltu/Deba,Gombe,0.0,2025.0
Aboh-Mbaise,Imo,0.0,2025.0
Ahiazu-Mbaise,Imo,0.0,2025.0
Ehime-Mbano,Imo,0.0,2025.0
Ezinihitte,Imo,0.0,2025.0
Ideato North,Imo,0.0,2025.0
Ideato South,Imo,0.0,2025.0
Ihitte/Uboma,Imo,0.0,2025.0
Ikeduru,Imo,0.0,2025.0
Isiala Mbano,Imo,0.0,2025.0
Isu,Imo,0.0,2025.0
Mbatoli,Imo,0.0,2025.0
Ngor-Okpala,Imo,0.0,2025.0
Njaba,Imo,0.0,2025.0
Nkwerre,Imo,0.0,2025.0
Nwangele,Imo,0.0,2025.0
Obowo,Imo,0.0,2025.0
Oguta,Imo,0.0,2025.0
Ohaji/Egbema,Imo,0.0,2025.0
Okigwe,Imo,0.0,2025.0
Onuimo,Imo,0.0,2025.0
Orlu,Imo,0.0,2025.0
Orsu,Imo,0.0,2025.0
Oru East,Imo,0.0,2025.0
Oru West,Imo,0.0,2025.0
Owerri Municipal,Imo,0.0,2025.0
Owerri North,Imo,0.0,2025.0
Owerri West,Imo,0.0,2025.0
Auyo,Jigawa,0.0,2025.0
Babura,Jigawa,0.0,2025.0
Biriniwa,Jigawa,0.0,2025.0
Birnin Kudu,Jigawa,0.0,2025.0
Buji,Jigawa,0.0,2025.0
Dutse,Jigawa,0.0,2025.0
Gagarawa,Jigawa,0.0,2025.0
Garki,Jigawa,0.0,2025.0
Gumel,Jigawa,0.0,2025.0
Guri,Jigawa,0.0,2025.0
Gwaram,Jigawa,0.0,2025.0
Gwiwa,Jigawa,0.0,2025.0
Hadejia,Jigawa,0.0,2025.0
Jahun,Jigawa,0.0,2025.0
Kafin Hausa,Jigawa,0.0,2025.0
Kaugama,Jigawa,0.0,2025.0
Kazaure,Jigawa,0.0,2025.0
Kiri Kasama,Jigawa,0.0,2025.0
Kiyawa,Jigawa,0.0,2025.0
Maigatari,Jigawa,0.0,2025.0
Malam Madori,Jigawa,0.0,2025.0
Miga,Jigawa,0.0,2025.0
Ringim,Jigawa,0.0,2025.0
Roni,Jigawa,0.0,2025.0
Sule Tankarkar,Jigawa,0.0,2025.0
Taura,Jigawa,0.0,2025.0
Yankwashi,Jigawa,0.0,2025.0
Birnin Gwari,Kaduna,0.0,2025.0
Chikun,Kaduna,0.0,2025.0
Giwa,Kaduna,0.0,2025.0
Igabi,Kaduna,0.0,2025.0
Ikara,Kaduna,0.0,2025.0
Jaba,Kaduna,0.0,2025.0
Jema'A,Kaduna,0.0,2025.0
Kachia,Kaduna,0.0,2025.0
Kaduna North,Kaduna,0.0,2025.0
Kaduna South,Kaduna,0.0,2025.0
Kagarko,Kaduna,0.0,2025.0
Kajuru,Kaduna,0.0,2025.0
Kaura,Kaduna,0.0,2025.0
Kauru,Kaduna,0.0,2025.0
Kubau,Kaduna,0.0,2025.0
Kudan,Kaduna,0.0,2025.0
Lere,Kaduna,0.0,2025.0
Makarfi,Kaduna,0.0,2025.0
Sabon Gari,Kaduna,0.0,2025.0
Sanga,Kaduna,0.0,2025.0
Soba,Kaduna,0.0,2025.0
Zangon Kataf,Kaduna,0.0,2025.0
Zaria,Kaduna,0.0,2025.0
Ajingi,Kano,0.0,2025.0
Albasu,Kano,0.0,2025.0
Bagwai,Kano,0.0,2025.0
Bebeji,Kano,0.0,2025.0
Bichi,Kano,0.0,2025.0
Bunkure,Kano,0.0,2025.0
Dala,Kano,0.0,2025.0
Dambatta,Kano,0.0,2025.0
Dawakin Kudu,Kano,0.0,2025.0
Dawakin Tofa,Kano,0.0,2025.0
Doguwa,Kano,0.0,2025.0
Fagge,Kano,0.0,2025.0
Gabasawa,Kano,0.0,2025.0
Garko,Kano,0.0,2025.0
Garun Malam,Kano,0.0,2025.0
Gaya,Kano,0.0,2025.0
Gezawa,Kano,0.0,2025.0
Gwale,Kano,0.0,2025.0
Gwarzo,Kano,0.0,2025.0
Kabo,Kano,0.0,2025.0
Kano Municipal,Kano,0.0,2025.0
Karaye,Kano,0.0,2025.0
Kibiya,Kano,0.0,2025.0
Kiru,Kano,0.0,2025.0
Kumbotso,Kano,0.0,2025.0
Kunchi,Kano,0.0,2025.0
Kura,Kano,0.0,2025.0
Madobi,Kano,0.0,2025.0
Makoda,Kano,0.0,2025.0
Minjibir,Kano,0.0,2025.0
Nassarawa,Kano,0.0,2025.0
Rano,Kano,0.0,2025.0
Rimin Gado,Kano,0.0,2025.0
Rogo,Kano,0.0,2025.0
Shanono,Kano,0.0,2025.0
Sumaila,Kano,0.0,2025.0
Takai,Kano,0.0,2025.0
Tarauni,Kano,0.0,2025.0
Tofa,Kano,0.0,2025.0
Tsanyawa,Kano,0.0,2025.0
Tudun Wada,Kano,0.0,2025.0
Ungogo,Kano,0.0,2025.0
Warawa,Kano,0.0,2025.0
Wudil,Kano,0.0,2025.0
Bakori,Katsina,0.0,2025.0
Batagarawa,Katsina,0.0,2025.0
Batsari,Katsina,0.0,2025.0
Baure,Katsina,0.0,2025.0
Bindawa,Katsina,0.0,2025.0
Charanchi,Katsina,0.0,2025.0
Dan Musa,Katsina,0.0,2025.0
Dandume,Katsina,0.0,2025.0
Danja,Katsina,0.0,2025.0
Daura,Katsina,0.0,2025.0
Dutsi,Katsina,0.0,2025.0
Dutsin Ma,Katsina,0.0,2025.0
Faskari,Katsina,0.0,2025.0
Funtua,Katsina,0.0,2025.0
Ingawa,Katsina,0.0,2025.0
Jibia,Katsina,0.0,2025.0
Kafur,Katsina,0.0,2025.0
Kaita,Katsina,0.0,2025.0
Kankara,Katsina,0.0,2025.0
Kankia,Katsina,0.0,2025.0
Katsina,Katsina,0.0,2025.0
Kurfi,Katsina,0.0,2025.0
Kusada,Katsina,0.0,2025.0
Mai'Adua,Katsina,0.0,2025.0
Malumfashi,Katsina,0.0,2025.0
Mani,Katsina,0.0,2025.0
Mashi,Katsina,0.0,2025.0
Matazu,Katsina,0.0,2025.0
Musawa,Katsina,0.0,2025.0
Rimi,Katsina,0.0,2025.0
Sabuwa,Katsina,0.0,2025.0
Safana,Katsina,0.0,2025.0
Sandamu,Katsina,0.0,2025.0
Zango,Katsina,0.0,2025.0
Aleiro,Kebbi,0.0,2025.0
Arewa Dandi,Kebbi,0.0,2025.0
Argungu,Kebbi,0.0,2025.0
Augie,Kebbi,0.0,2025.0
Bagudu,Kebbi,0.0,2025.0
Birnin Kebbi,Kebbi,0.0,2025.0
Bunza,Kebbi,0.0,2025.0
Dandi,Kebbi,0.0,2025.0
Fakai,Kebbi,0.0,2025.0
Gwandu,Kebbi,0.0,2025.0
Jega,Kebbi,0.0,2025.0
Kalgo,Kebbi,0.0,2025.0
Koko-Besse,Kebbi,0.0,2025.0
Maiyama,Kebbi,0.0,2025.0
Ngaski,Kebbi,0.0,2025.0
Sakaba,Kebbi,0.0,2025.0
Shanga,Kebbi,0.0,2025.0
Suru,Kebbi,0.0,2025.0
Wasagu-Danko,Kebbi,0.0,2025.0
Yauri,Kebbi,0.0,2025.0
Zuru,Kebbi,0.0,2025.0
Adavi,Kogi,0.0,2025.0
Ajaokuta,Kogi,0.0,2025.0
Ankpa,Kogi,0.0,2025.0
Bassa,Kogi,0.0,2025.0
Dekina,Kogi,0.0,2025.0
Ibaji,Kogi,0.0,2025.0
Idah,Kogi,0.0,2025.0
Igalamela-Odolu,Kogi,0.0,2025.0
Ijumu,Kogi,0.0,2025.0
Kabba/Bunu,Kogi,0.0,2025.0
Kogi,Kogi,0.0,2025.0
Lokoja,Kogi,0.0,2025.0
Mopa-Muro,Kogi,0.0,2025.0
Ofu,Kogi,0.0,2025.0
Ogori/Magongo,Kogi,0.0,2025.0
Okehi,Kogi,0.0,2025.0
Okene,Kogi,0.0,2025.0
Olamaboro,Kogi,0.0,2025.0
Omala,Kogi,0.0,2025.0
Yagba East,Kogi,0.0,2025.0
Yagba West,Kogi,0.0,2025.0
Asa,Kwara,0.0,2025.0
Baruten,Kwara,0.0,2025.0
Edu,Kwara,0.0,2025.0
Ekiti,Kwara,0.0,2025.0
Ifelodun,Kwara,0.0,2025.0
Ilorin East,Kwara,0.0,2025.0
Ilorin South,Kwara,0.0,2025.0
Ilorin West,Kwara,0.0,2025.0
Irepodun,Kwara,0.0,2025.0
Isin,Kwara,0.0,2025.0
Kaiama,Kwara,0.0,2025.0
Moro,Kwara,0.0,2025.0
Offa,Kwara,0.0,2025.0
Oke Ero,Kwara,0.0,2025.0
Oyun,Kwara,0.0,2025.0
Pategi,Kwara,0.0,2025.0
Agege,Lagos,0.0,2025.0
Ajeromi/Ifelodun,Lagos,0.0,2025.0
Alimosho,Lagos,0.0,2025.0
Amuwo Odofin,Lagos,0.0,2025.0
Apapa,Lagos,0.0,2025.0
Badagry,Lagos,0.0,2025.0
Epe,Lagos,0.0,2025.0
Eti Osa,Lagos,0.0,2025.0
Ibeju Lekki,Lagos,0.0,2025.0
Ifako/Ijaye,Lagos,0.0,2025.0
Ikeja,Lagos,0.0,2025.0
Ikorodu,Lagos,0.0,2025.0
Kosofe,Lagos,0.0,2025.0
Lagos Island,Lagos,0.0,2025.0
Lagos Mainland,Lagos,0.0,2025.0
Mushin,Lagos,0.0,2025.0
Ojo,Lagos,0.0,2025.0
Oshodi/Isolo,Lagos,0.0,2025.0
Shomolu,Lagos,0.0,2025.0
Surulere,Lagos,0.0,2025.0
Akwanga,Nasarawa,0.0,2025.0
Awe,Nasarawa,0.0,2025.0
Doma,Nasarawa,0.0,2025.0
Karu,Nasarawa,0.0,2025.0
Keana,Nasarawa,0.0,2025.0
Keffi,Nasarawa,0.0,2025.0
Kokona,Nasarawa,0.0,2025.0
Lafia,Nasarawa,0.0,2025.0
Nasarawa,Nasarawa,0.0,2025.0
Nasarawa Egon,Nasarawa,0.0,2025.0
Obi,Nasarawa,0.0,2025.0
Toto,Nasarawa,0.0,2025.0
Wamba,Nasarawa,0.0,2025.0
Agaie,Niger,0.0,2025.0
Agwara,Niger,0.0,2025.0
Bida,Niger,0.0,2025.0
Borgu,Niger,28.0,2025.0
Bosso,Niger,0.0,2025.0
Chanchaga,Niger,0.0,2025.0
Edati,Niger,0.0,2025.0
Gbako,Niger,0.0,2025.0
Gurara,Niger,0.0,2025.0
Katcha,Niger,0.0,2025.0
Kontagora,Niger,0.0,2025.0
Lapai,Niger,0.0,2025.0
Lavun,Niger,0.0,2025.0
Magama,Niger,0.0,2025.0
Mariga,Niger,0.0,2025.0
Mashegu,Niger,0.0,2025.0
Mokwa,Niger,0.0,2025.0
Munya,Niger,0.0,2025.0
Paikoro,Niger,0.0,2025.0
Rafi,Niger,0.0,2025.0
Rijau,Niger,0.0,2025.0
Shiroro,Niger,0.0,2025.0
Suleja,Niger,0.0,2025.0
Tafa,Niger,0.0,2025.0
Wushishi,Niger,0.0,2025.0
Abeokuta North,Ogun,0.0,2025.0
Abeokuta South,Ogun,0.0,2025.0
Ado Odo/Ota,Ogun,0.0,2025.0
Ewekoro,Ogun,0.0,2025.0
Ifo,Ogun,0.0,2025.0
Ijebu East,Ogun,0.0,2025.0
Ijebu North,Ogun,0.0,2025.0
Ijebu North East,Ogun,0.0,2025.0
Ijebu Ode,Ogun,0.0,2025.0
Ikenne,Ogun,0.0,2025.0
Imeko Afon,Ogun,0.0,2025.0
Ipokia,Ogun,0.0,2025.0
Obafemi Owode,Ogun,0.0,2025.0
Odeda,Ogun,0.0,2025.0
Odogbolu,Ogun,0.0,2025.0
Ogun Waterside,Ogun,0.0,2025.0
Remo North,Ogun,0.0,2025.0
Shagamu,Ogun,0.0,2025.0
Yewa North,Ogun,0.0,2025.0
Yewa South,Ogun,0.0,2025.0
Akoko North East,Ondo,0.0,2025.0
Akoko North West,Ondo,0.0,2025.0
Akoko South East,Ondo,0.0,2025.0
Akoko South West,Ondo,0.0,2025.0
Akure North,Ondo,0.0,2025.0
Akure South,Ondo,0.0,2025.0
Ese Odo,Ondo,0.0,2025.0
Idanre,Ondo,0.0,2025.0
Ifedore,Ondo,0.0,2025.0
Ilaje,Ondo,0.0,2025.0
Ile Oluji/Okeigbo,Ondo,0.0,2025.0
Irele,Ondo,0.0,2025.0
Odigbo,Ondo,0.0,2025.0
Okitipupa,Ondo,0.0,2025.0
Ondo East,Ondo,0.0,2025.0
Ondo West,Ondo,0.0,2025.0
Ose,Ondo,0.0,2025.0
Owo,Ondo,0.0,2025.0
Atakunmosa East,Osun,0.0,2025.0
Atakunmosa West,Osun,0.0,2025.0
Ayedade,Osun,0.0,2025.0
Ayedire,Osun,0.0,2025.0
Boluwaduro,Osun,0.0,2025.0
Boripe,Osun,0.0,2025.0
Ede North,Osun,0.0,2025.0
Ede South,Osun,0.0,2025.0
Egbedore,Osun,0.0,2025.0
Ejigbo,Osun,0.0,2025.0
Ife Central,Osun,0.0,2025.0
Ife East,Osun,0.0,2025.0
Ife North,Osun,0.0,2025.0
Ife South,Osun,0.0,2025.0
Ifedayo,Osun,0.0,2025.0
Ifelodun,Osun,0.0,2025.0
Ila,Osun,0.0,2025.0
Ilesha East,Osun,0.0,2025.0
Ilesha West,Osun,0.0,2025.0
Irepodun,Osun,0.0,2025.0
Irewole,Osun,0.0,2025.0
Isokan,Osun,0.0,2025.0
Iwo,Osun,0.0,2025.0
Obokun,Osun,0.0,2025.0
Odo Otin,Osun,0.0,2025.0
Ola Oluwa,Osun,0.0,2025.0
Olorunda,Osun,0.0,2025.0
Oriade,Osun,0.0,2025.0
Orolu,Osun,0.0,2025.0
Osogbo,Osun,0.0,2025.0
Afijio,Oyo,0.0,2025.0
Akinyele,Oyo,0.0,2025.0
Atiba,Oyo,0.0,2025.0
Atisbo,Oyo,0.0,2025.0
Egbeda,Oyo,0.0,2025.0
Ibadan North,Oyo,0.0,2025.0
Ibadan North East,Oyo,0.0,2025.0
Ibadan North West,Oyo,0.0,2025.0
Ibadan South East,Oyo,0.0,2025.0
Ibadan South West,Oyo,0.0,2025.0
Ibarapa Central,Oyo,0.0,2025.0
Ibarapa East,Oyo,0.0,2025.0
Ibarapa North,Oyo,0.0,2025.0
Ido,Oyo,0.0,2025.0
Irepo,Oyo,0.0,2025.0
Iseyin,Oyo,0.0,2025.0
Itesiwaju,Oyo,0.0,2025.0
Iwajowa,Oyo,0.0,2025.0
Kajola,Oyo,0.0,2025.0
Lagelu,Oyo,0.0,2025.0
Ogbomosho North,Oyo,0.0,2025.0
Ogbomosho South,Oyo,0.0,2025.0
Ogo Oluwa,Oyo,0.0,2025.0
Olorunsogo,Oyo,0.0,2025.0
Oluyole,Oyo,0.0,2025.0
Ona Ara,Oyo,0.0,2025.0
Orelope,Oyo,0.0,2025.0
Ori Ire,Oyo,0.0,2025.0
Oyo East,Oyo,0.0,2025.0
Oyo West,Oyo,0.0,2025.0
Saki East,Oyo,0.0,2025.0
Saki West,Oyo,0.0,2025.0
Surulere,Oyo,0.0,2025.0
Barkin Ladi,Plateau,0.0,2025.0
Bassa,Plateau,0.0,2025.0
Bokkos,Plateau,0.0,2025.0
Jos East,Plateau,0.0,2025.0
Jos North,Plateau,0.0,2025.0
Jos South,Plateau,0.0,2025.0
Kanam,Plateau,0.0,2025.0
Kanke,Plateau,0.0,2025.0
Langtang North,Plateau,0.0,2025.0
Langtang South,Plateau,0.0,2025.0
Mangu,Plateau,0.0,2025.0
Mikang,Plateau,0.0,2025.0
Pankshin,Plateau,0.0,2025.0
Qua'An Pan,Plateau,0.0,2025.0
Riyom,Plateau,0.0,2025.0
Shendam,Plateau,0.0,2025.0
Wase,Plateau,0.0,2025.0
Abua/Odual,Rivers,0.0,2025.0
Ahoada East,Rivers,0.0,2025.0
Ahoada West,Rivers,0.0,2025.0
Akuku Toru,Rivers,47.0,2025.0
Andoni,Rivers,60.0,2025.0
Asari-Toru,Rivers,0.0,2025.0
Bonny,Rivers,0.0,2025.0
Degema,Rivers,0.0,2025.0
